date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-03-08,3452.2,3457.04,3448.73,3441.26,795876.88,-5.23,-0.15,3442.426,3451.677,3446.334,827772.03,886105.26,1011596.85
2017-03-07,3446.16,3454.04,3453.96,3440.06,803347.19,7.48,0.22,3444.368,3455.78,3443.062,875117.36,909333.56,1009504.45
2017-03-06,3427.25,3449.03,3446.48,3425.9,830708.81,18.62,0.54,3444.138,3458.666,3438.648,864878.45,943840.85,1001214.32
2017-03-03,3424.66,3428.88,3427.86,3412.83,809946.5,-7.24,-0.21,3444.086,3461.157,3434.985,896081.01,993398.84,993939.56
2017-03-02,3463.48,3468.47,3435.1,3434.0,898980.75,-23.34,-0.68,3453.284,3460.515,3431.816,925161.97,1027004.22,981036.66
2017-03-01,3452.21,3472.7,3458.44,3449.11,1032603.56,5.63,0.16,3460.928,3461.098,3429.459,944438.48,1045383.11,968745.95
2017-02-28,3445.03,3460.91,3452.81,3441.36,752152.62,6.59,0.19,3467.192,3457.425,3425.332,943549.76,1069766.09,946304.24
2017-02-27,3471.13,3472.84,3446.22,3441.39,986721.62,-27.63,-0.8,3473.194,3455.724,3420.914,1022803.26,1089360.29,941793.72
2017-02-24,3468.96,3473.85,3473.85,3455.25,955351.31,0.53,0.01,3478.228,3454.73,3416.807,1090716.66,1110832.67,930236.39
2017-02-23,3487.57,3492.96,3473.32,3460.12,995363.31,-16.44,-0.47,3467.746,3448.694,3410.859,1128846.47,1139066.26,915119.05
2017-02-22,3483.2,3489.95,3489.76,3473.52,1028159.94,6.94,0.2,3461.268,3440.991,3403.658,1146327.74,1137088.44,898430.79
2017-02-21,3475.06,3490.09,3482.82,3472.02,1148420.12,11.43,0.33,3447.658,3430.344,3396.138,1195982.42,1109675.33,882334.41
2017-02-20,3421.64,3472.6,3471.39,3421.64,1326288.62,49.95,1.46,3438.254,3418.63,3388.315,1155917.32,1058587.78,859640.06
2017-02-17,3443.62,3457.56,3421.44,3419.61,1146000.38,-19.49,-0.57,3431.232,3408.812,3380.718,1130948.68,994480.28,872215.2
2017-02-16,3421.83,3440.93,3440.93,3418.35,1082769.62,19.22,0.56,3429.642,3403.117,3375.642,1149286.05,935069.1,857005.48
2017-02-15,3435.39,3448.03,3421.71,3417.08,1276433.38,-14.09,-0.41,3420.714,3397.82,3369.476,1127849.15,892108.79,843486.57
2017-02-14,3438.51,3440.67,3435.8,3424.4,948094.62,-0.48,-0.01,3413.03,3393.239,3365.116,1023368.24,822842.39,825200.62
2017-02-13,3416.92,3439.54,3436.28,3416.87,1201445.38,22.79,0.67,3399.006,3386.104,3361.239,961258.24,794227.15,819705.47
2017-02-10,3398.32,3422.33,3413.49,3398.03,1237687.25,17.2,0.51,3386.392,3378.884,3357.62,858011.88,749640.11,801487.17
2017-02-09,3381.9,3406.59,3396.29,3379.79,975585.12,13.0,0.38,3376.592,3373.024,3354.329,720852.16,691171.85,783332.36
2017-02-08,3361.78,3383.69,3383.29,3347.43,754028.81,17.61,0.52,3374.926,3366.324,3352.904,656368.43,659773.14,778721.28
2017-02-07,3371.77,3376.71,3365.68,3354.63,637544.62,-7.53,-0.22,3373.448,3361.932,3352.155,622316.53,654993.49,786045.26
2017-02-06,3368.11,3381.33,3373.21,3358.75,685213.62,8.72,0.26,3373.202,3358.0,3350.983,627196.06,660692.35,797451.97
2017-02-03,3390.93,3392.48,3364.49,3362.57,551888.62,-23.47,-0.69,3371.376,3352.624,3347.826,641268.34,749950.12,799063.35
2017-01-26,3378.26,3395.88,3387.96,3378.26,653166.5,12.06,0.36,3369.456,3348.166,3344.49,661491.54,778941.85,806512.88
2017-01-25,3361.66,3376.44,3375.9,3357.22,583769.31,11.45,0.34,3357.722,3341.132,3340.186,663177.85,794864.34,808354.78
2017-01-24,3363.14,3371.32,3364.45,3355.9,661942.25,0.37,0.01,3350.416,3336.992,3337.211,687670.44,827558.85,816909.49
2017-01-23,3359.05,3378.74,3364.08,3355.85,755575.0,9.19,0.27,3342.798,3336.374,3335.108,694188.64,845183.78,828709.37
2017-01-20,3326.98,3358.41,3354.89,3326.37,653004.62,25.6,0.77,3333.872,3336.356,3332.284,858631.91,853334.23,839652.97
2017-01-19,3330.95,3346.5,3329.29,3324.68,661598.06,-10.08,-0.3,3326.876,3335.634,3331.323,896392.16,875492.88,853141.37
2017-01-18,3323.34,3350.96,3339.37,3320.41,706232.25,13.01,0.39,3324.542,3339.484,3331.786,926550.83,897669.43,874188.96
2017-01-17,3305.6,3327.38,3326.36,3292.2,694533.25,6.91,0.21,3323.568,3342.378,3330.27,967447.25,917097.03,882662.15
2017-01-16,3314.15,3322.78,3319.45,3264.21,1577791.38,-0.46,-0.01,3329.95,3343.965,3330.401,996178.93,934211.6,888755.82
2017-01-13,3317.96,3338.17,3319.91,3309.37,841805.88,2.29,0.07,3338.84,3343.028,3331.73,848036.54,848176.58,855253.97
2017-01-12,3332.69,3343.13,3317.62,3315.96,812391.38,-16.88,-0.51,3344.392,3340.813,3332.756,854593.59,834083.91,870644.0
2017-01-11,3355.8,3366.63,3334.5,3334.3,910714.38,-23.77,-0.71,3354.426,3339.24,3335.823,868788.02,821845.21,892028.31
2017-01-10,3361.64,3370.51,3358.27,3354.09,838191.62,-5.63,-0.17,3361.188,3337.429,3339.35,866746.8,806260.13,907045.14
2017-01-09,3345.75,3366.22,3363.9,3344.35,837079.44,16.23,0.48,3357.98,3333.842,3341.895,872244.26,812234.95,958869.43
2017-01-06,3366.85,3368.87,3347.67,3346.89,874591.12,-20.12,-0.6,3347.216,3328.212,3348.385,848316.61,825971.72,992167.12
2017-01-05,3368.34,3373.41,3367.79,3361.46,883363.56,-0.52,-0.01,3337.234,3327.012,3354.509,813574.24,830789.86,1007129.52
2017-01-04,3340.56,3369.57,3368.31,3338.15,900508.25,26.08,0.78,3324.054,3324.087,3359.907,774902.4,850708.5,1020133.9
2017-01-03,3313.95,3345.26,3342.23,3313.95,865678.94,32.15,0.97,3313.67,3318.162,3364.449,745773.46,848227.27,1032873.03
2016-12-30,3302.6,3313.55,3310.08,3295.75,717441.19,12.32,0.37,3309.704,3316.837,3370.808,752225.64,843300.05,1080015.26
2016-12-29,3297.04,3312.11,3297.76,3288.1,700879.25,-4.13,-0.12,3309.208,3320.432,3381.751,803626.82,862331.36,1142320.93
2016-12-28,3315.75,3320.55,3301.89,3293.17,690004.38,-14.5,-0.44,3316.79,3324.699,3395.115,848005.47,907204.09,1197362.35
2016-12-27,3319.21,3330.23,3316.39,3315.83,754863.56,-6.01,-0.18,3324.12,3332.405,3406.921,926514.6,962211.41,1252142.22
2016-12-26,3293.22,3322.42,3322.4,3267.05,897939.81,14.8,0.45,3322.654,3341.27,3419.303,950681.07,1007830.15,1332858.22
2016-12-23,3333.4,3334.89,3307.6,3300.88,974447.12,-28.07,-0.84,3323.97,3349.948,3429.937,934374.46,1105503.92,1391648.97
2016-12-22,3335.12,3340.36,3335.67,3322.72,922772.5,-2.87,-0.09,3331.656,3368.558,3440.622,921035.89,1158362.52,1419737.37
2016-12-21,3313.75,3342.48,3338.54,3313.75,1082550.0,29.48,0.89,3332.608,3382.005,3448.276,966402.71,1183469.19,1446471.89
2016-12-20,3328.3,3329.1,3309.06,3289.27,875695.94,-19.92,-0.6,3340.69,3395.726,3455.085,997908.21,1189559.29,1473538.64
2016-12-19,3342.34,3344.86,3328.98,3325.0,816406.75,-17.05,-0.51,3359.886,3410.735,3463.05,1064979.22,1217518.79,1514015.57
2016-12-16,3335.36,3356.29,3346.03,3330.49,907754.25,5.6,0.17,3375.926,3424.778,3468.657,1276633.37,1316730.46,1546412.49
2016-12-15,3363.86,3378.04,3340.43,3327.14,1149606.62,-38.52,-1.14,3405.46,3443.07,3472.228,1395689.15,1422310.51,1559000.38
2016-12-14,3399.41,3412.28,3378.95,3378.27,1240077.5,-26.09,-0.77,3431.402,3465.531,3477.034,1400535.67,1487520.61,1562300.91
