,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,BollingerB_10,Bollinger%b_10
0,2014-03-10,2149.676,2149.676,2097.7870000000003,2095.067,71416408.0,-70.571,-3.25,2097.7870000000003,2097.7870000000003,2097.7870000000003,71416408.0,71416408.0,71416408.0,,
1,2014-03-11,2092.6079999999997,2118.79,2108.661,2088.729,57621244.0,10.874,0.52,2103.224,2103.224,2103.224,64518826.0,64518826.0,64518826.0,,
2,2014-03-12,2102.801,2130.5860000000002,2114.134,2090.757,70069744.0,5.473,0.26,2106.861,2106.861,2106.861,66369132.0,66369132.0,66369132.0,,
3,2014-03-13,2119.547,2149.436,2140.333,2115.986,69226032.0,26.199,1.24,2115.229,2115.229,2115.229,67083357.0,67083357.0,67083357.0,,
4,2014-03-14,2129.87,2140.384,2122.8360000000002,2109.575,58617736.0,-17.497,-0.82,2116.75,2116.75,2116.75,65390232.8,65390232.8,65390232.8,,
5,2014-03-17,2132.7929999999997,2143.196,2143.038,2118.953,52409444.0,20.202,0.95,2125.8,2121.132,2121.132,61588840.0,63226768.0,63226768.0,,
6,2014-03-18,2146.124,2152.462,2138.133,2134.923,55354132.0,-4.905,-0.23,2131.695,2123.56,2123.56,61135417.6,62102105.71,62102105.71,,
7,2014-03-19,2131.283,2131.283,2120.87,2101.285,59303904.0,-17.262999999999998,-0.81,2133.042,2123.224,2123.224,58982249.6,61752330.5,61752330.5,,
8,2014-03-20,2116.185,2134.792,2086.967,2086.4970000000003,67631288.0,-33.903,-1.6,2122.369,2119.195,2119.195,58663300.8,62405548.0,62405548.0,,
9,2014-03-21,2079.871,2163.225,2158.798,2077.759,104024808.0,71.831,3.44,2129.561,2123.156,2123.156,67744715.2,66567474.0,66567474.0,0.04182220372882647,0.9013996265141486
10,2014-03-24,2161.8979999999997,2186.731,2176.554,2150.871,104491984.0,17.756,0.82,2136.264,2131.032,2128.01,78161223.2,69875031.6,70015156.73,0.048555144349904884,0.9399387494732653
11,2014-03-25,2170.78,2191.491,2174.44,2164.669,86877512.0,-2.114,-0.1,2143.526,2137.61,2131.879,84465899.2,72800658.4,71420353.0,0.05208775663056426,0.8307760027321109
12,2014-03-26,2181.231,2186.078,2171.047,2165.217,58276176.0,-3.3930000000000002,-0.16,2153.561,2143.302,2134.8920000000003,84260353.6,71621301.6,70409262.46,0.05284669328790601,0.7449570167483209
13,2014-03-27,2168.344,2186.893,2155.7070000000003,2146.916,71275136.0,-15.34,-0.71,2167.3089999999997,2144.839,2136.379,84989123.2,71826212.0,70471110.57,0.0532513169827279,0.5951534586856714
14,2014-03-28,2154.515,2172.6679999999997,2151.965,2144.584,70086072.0,-3.742,-0.17,2165.9429999999998,2147.752,2137.4179999999997,78201376.0,72973045.6,70445441.33,0.05126696972118108,0.5382630872028733
15,2014-03-31,2156.054,2165.254,2146.305,2134.422,55457488.0,-5.66,-0.26,2159.893,2148.0789999999997,2137.973,68394476.8,73277850.0,69508694.25,0.05117945758959036,0.48386719692013397
16,2014-04-01,2143.717,2170.095,2163.115,2141.151,48866404.0,16.81,0.78,2157.6279999999997,2150.577,2139.452,60792255.2,72629077.2,68294441.88,0.05136293402389955,0.6135090300423869
17,2014-04-02,2166.067,2182.683,2180.7270000000003,2164.008,65039256.0,17.612000000000002,0.81,2159.564,2156.563,2141.745,62144871.2,73202612.4,68113598.22,0.04996714050219167,0.7242493886467428
18,2014-04-03,2188.6420000000003,2196.138,2165.008,2160.7470000000003,71536032.0,-15.719000000000001,-0.72,2161.424,2164.367,2142.97,62197050.4,73593086.8,68293726.32,0.020893550362147233,0.5141835808280857
19,2014-04-04,2157.982,2186.154,2185.472,2155.277,47945888.0,20.464000000000002,0.94,2168.125,2167.034,2145.095,57769013.6,67985194.8,67276334.4,0.023778588620527136,0.8578178582405894
20,2014-04-08,2179.92,2243.97,2237.3160000000003,2178.905,97219120.0,51.843999999999994,2.37,2186.328,2173.11,2152.071,66121340.0,67257908.4,68566470.0,0.04742027965254519,1.12305789074482
21,2014-04-09,2239.791,2246.7929999999997,2238.62,2228.994,66357268.0,1.304,0.06,2201.429,2179.528,2158.569,69619512.8,65205884.0,69003271.2,0.060718337111102805,0.9465240525645812
22,2014-04-10,2241.452,2290.742,2273.761,2229.515,114545408.0,35.141,1.57,2220.035,2189.8,2166.551,79520743.2,70832807.2,71227054.4,0.08078680269745724,0.9746078083610537
23,2014-04-11,2269.565,2281.105,2270.666,2261.133,90615896.0,-3.095,-0.14,2241.167,2201.295,2173.067,83336716.0,72766883.2,72296547.6,0.0891425454623351,0.8535179317999394
24,2014-04-14,2267.9429999999998,2275.83,2268.613,2255.456,62265000.0,-2.053,-0.09,2257.795,2212.96,2180.356,86200538.4,71984776.0,72478910.8,0.09016960765821277,0.7789025186418843
25,2014-04-15,2261.411,2261.474,2229.4629999999997,2225.685,68218128.0,-39.15,-1.73,2256.225,2221.276,2184.677,80400340.0,73260840.0,73269345.0,0.07948548556707505,0.546369147372276
26,2014-04-16,2223.468,2245.315,2232.526,2221.153,51678008.0,3.063,0.14,2255.006,2228.217,2189.397,77464488.0,73542000.4,73085538.8,0.07028665501058103,0.5275122391748087
27,2014-04-17,2238.779,2241.6220000000003,2224.803,2221.9539999999997,48333628.0,-7.723,-0.35,2245.214,2232.625,2194.594,64222132.0,71871437.6,72537025.0,0.06364928541310065,0.4449575913600216
28,2014-04-18,2215.879,2228.77,2224.479,2203.047,50757996.0,-0.324,-0.01,2235.9770000000003,2238.572,2201.469,56250552.0,69793634.0,71693360.4,0.048019018438575506,0.36889596928629925
29,2014-04-21,2209.942,2231.7070000000003,2187.248,2186.755,56278280.0,-37.231,-1.67,2219.7039999999997,2238.749,2202.8920000000003,55053208.0,70626873.2,69306034.0,0.04732405459829887,0.01389237923751414
30,2014-04-22,2184.0170000000003,2196.849,2196.795,2165.075,57094696.0,9.547,0.44,2213.17,2234.697,2203.904,52828521.6,66614430.8,66936169.6,0.05305771777931556,0.1803318103487439
31,2014-04-23,2191.231,2205.594,2194.6679999999997,2187.388,47763532.0,-2.127,-0.1,2205.599,2230.302,2204.915,52045626.4,64755057.2,64980470.6,0.057657284721521235,0.22289196783879517
